"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2024-01-05T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",39.25,"bereinigt"
"2024-01-05T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2024-01-05T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",10843.99,"bereinigt"
"2024-01-05T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",33.46,"bereinigt"
"2024-01-05T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",17.19,"bereinigt"
"2024-01-05T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",37.63,"bereinigt"
"2024-01-05T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",22.83,"bereinigt"
"2024-01-05T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",7.21,"bereinigt"
"2024-01-05T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",5.04,"bereinigt"
"2024-01-05T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",40.61,"bereinigt"
"2024-01-05T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2024-01-05T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",16395.71,"bereinigt"
"2024-01-05T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",41.7,"bereinigt"
"2024-01-05T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",23.45,"bereinigt"
"2024-01-05T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",43.79,"bereinigt"
"2024-01-05T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",14.18,"bereinigt"
"2024-01-05T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",7.61,"bereinigt"
"2024-01-05T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",6.03,"bereinigt"
"2024-01-05T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",32.11,"bereinigt"
"2024-01-05T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2024-01-05T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",7.06,"bereinigt"
"2024-01-05T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",1.08,"bereinigt"
"2024-01-05T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",11.84,"bereinigt"
"2024-01-05T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",50.01,"bereinigt"
"2024-01-05T00:00+0100","Zch_Heubeeribüel","PM10","d1","µg/m3",4.29,"bereinigt"
"2024-01-05T00:00+0100","Zch_Heubeeribüel","PM2.5","d1","µg/m3",3.26,"bereinigt"
"2024-01-05T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",64.41,"bereinigt"
"2024-01-05T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"bereinigt"
"2024-01-06T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",0.85,"bereinigt"
"2024-01-06T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.24,"bereinigt"
"2024-01-06T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",12.15,"bereinigt"
"2024-01-06T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",3.52,"bereinigt"
"2024-01-06T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",17.84,"bereinigt"
"2024-01-06T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",42.61,"bereinigt"
"2024-01-06T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",5.28,"bereinigt"
"2024-01-06T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",4.3,"bereinigt"
"2024-01-06T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",56.86,"bereinigt"
"2024-01-06T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2024-01-06T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",7326.56,"bereinigt"
"2024-01-06T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",19.59,"bereinigt"
"2024-01-06T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",8.62,"bereinigt"
"2024-01-06T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",24.25,"bereinigt"
"2024-01-06T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",40.38,"bereinigt"
"2024-01-06T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",5.53,"bereinigt"
"2024-01-06T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",4.22,"bereinigt"
"2024-01-06T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",54.71,"bereinigt"
"2024-01-06T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2024-01-06T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",8780.84,"bereinigt"
"2024-01-06T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",23.85,"bereinigt"
"2024-01-06T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",11.36,"bereinigt"
"2024-01-06T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",28.2,"bereinigt"
